sensor_id;sensor_type;location;lat;lon;timestamp;P1;P4;P2;P0;N10;N4;N25;N1;N05;TS
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T00:01:48;Mrz 81;Mrz 80;Mrz 77;Mrz 53;28.18;28.18;28.16;28. Apr;24.41;0.57
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T00:04:15;Mrz 67;Mrz 66;Mrz 61;Mrz 36;26.88;26.87;26.85;26.71;23.23;0.57
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T00:06:41;Mrz 88;Mrz 87;Mrz 82;Mrz 55;28.38;28.37;28.35;28.20;24.52;0.57
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T00:09:07;Mrz 79;Mrz 79;Mrz 75;Mrz 50;27.96;27.96;27.94;27.81;24.20;0.57
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T00:11:33;Mrz 89;Mrz 89;Mrz 85;Mrz 59;28.66;28.66;28.64;28.50;24.80;0.57
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T00:13:58;Mrz 70;Mrz 69;Mrz 65;Mrz 41;27.21;27.21;27.19;27. Jun;23.55;0.56
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T00:16:24;Mrz 66;Mrz 66;Mrz 64;Mrz 43;27.35;27.35;27.33;27.24;23.74;0.56
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T00:18:50;Mrz 69;Mrz 69;Mrz 68;Mrz 46;27.64;27.63;27.62;27.53;24.00;0.55
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T00:21:16;Mrz 37;Mrz 37;Mrz 36;Mrz 17;25.34;25.33;25.32;25.24;22. Feb;0.56
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T00:23:41;Mrz 70;Mrz 70;Mrz 67;Mrz 44;27.47;27.46;27.45;27.34;23.81;0.57
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T00:26:08;Mrz 88;Mrz 87;Mrz 83;Mrz 58;28.59;28.58;28.56;28.43;24.75;0.58
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T00:28:34;Mrz 83;Mrz 82;Mrz 77;Mrz 50;27.96;27.96;27.93;27.78;24.15;0.59
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T00:30:59;Mrz 66;Mrz 65;Mrz 60;Mrz 34;26.67;26.66;26.64;26.49;23. Feb;0.60
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T00:33:27;Mrz 65;Mrz 65;Mrz 62;Mrz 38;27. Feb;27. Feb;27.00;26.88;23.41;0.58
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T00:35:53;Mrz 67;Mrz 67;Mrz 65;Mrz 43;27.36;27.35;27.34;27.23;23.73;0.58
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T00:38:19;Mrz 73;Mrz 73;Mrz 70;Mrz 48;27.75;27.75;27.73;27.62;24. Jul;0.58
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T00:40:44;Mrz 97;Mrz 96;Mrz 94;Mrz 70;29.54;29.53;29.52;29.41;25.63;0.58
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T00:43:10;Mrz 77;Mrz 77;Mrz 76;Mrz 54;28.28;28.27;28.26;28.17;24.57;0.56
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T00:45:36;Mrz 77;Mrz 76;Mrz 73;Mrz 49;27.87;27.86;27.84;27.72;24.14;0.56
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T00:48:02;Mrz 56;Mrz 55;Mrz 53;Mrz 31;26.47;26.47;26.45;26.35;22.96;0.57
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T00:50:32;Mrz 61;Mrz 61;Mrz 58;Mrz 35;26.76;26.76;26.74;26.63;23.19;0.58
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T00:52:58;Mrz 65;Mrz 65;Mrz 64;Mrz 43;27.37;27.36;27.35;27.26;23.78;0.56
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T00:55:28;Mrz 90;Mrz 90;Mrz 90;Mrz 68;29.39;29.39;29.38;29.30;25.57;0.55
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T00:57:57;04. Mrz;04. Feb;04. Feb;Mrz 79;30.25;30.24;30.23;30.14;26.29;0.57
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T01:00:23;04. Jul;04. Jun;04. Mai;Mrz 81;30.45;30.44;30.43;30.33;26.45;0.57
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T01:02:49;Mrz 89;Mrz 88;Mrz 87;Mrz 64;29. Okt;29. Okt;29. Aug;28.99;25.28;0.57
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T01:05:20;Mrz 67;Mrz 67;Mrz 65;Mrz 43;27.38;27.37;27.36;27.26;23.76;0.56
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T01:07:47;Mrz 98;Mrz 98;Mrz 98;Mrz 77;30. Aug;30. Jul;30. Jun;29.98;26.17;0.54
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T01:10:19;Mrz 91;Mrz 91;Mrz 89;Mrz 65;29.14;29.13;29. Dez;29. Jan;25.28;0.57
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T01:12:53;Mrz 84;Mrz 84;Mrz 82;Mrz 59;28.71;28.70;28.69;28.59;24.92;0.56
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T01:15:49;04. Feb;04. Feb;04. Feb;Mrz 80;30.34;30.34;30.33;30.25;26.40;0.54
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T01:18:32;04. Nov;04. Okt;04. Okt;Mrz 87;30.88;30.87;30.86;30.77;26.84;0.55
61354;SPS30;47226;5.148.554.199;543.575.943;2021-04-26T01:21:31;04. Dez;04. Dez;04. Sep;Mrz 84;30.66;30.66;30.64;30.52;26.60;0.57
